City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Lompoc,US,2022-01-31 06:10:57,34.6391,-120.4579,57.13,84,0,0.0
67,San Quintin,MX,2022-01-31 06:10:57,30.4833,-115.95,57.76,68,0,8.08
68,Castro,BR,2022-01-31 06:10:58,-24.7911,-50.0119,62.51,99,100,5.46
69,Teeli,RU,2022-01-31 06:10:58,51.0333,90.2333,-9.0,92,19,2.64
70,Guerrero Negro,MX,2022-01-31 06:10:59,27.9769,-114.0611,59.49,70,71,9.37
71,Porgera,PG,2022-01-31 06:10:59,-5.4667,143.2,48.43,96,100,2.82
72,Grindavik,IS,2022-01-31 06:11:00,63.8424,-22.4338,28.87,74,100,6.91
73,Ribeira Grande,PT,2022-01-31 06:11:00,38.5167,-28.7,59.32,73,35,23.17
74,Bambous Virieux,MU,2022-01-31 06:11:01,-20.3428,57.7575,86.22,74,75,14.97
75,Champerico,GT,2022-01-31 06:11:02,14.3,-91.9167,79.36,72,9,4.38
76,Namibe,AO,2022-01-31 06:11:02,-15.1961,12.1522,70.66,74,94,1.95
77,Ryotsu,JP,2022-01-31 06:11:03,38.0833,138.4333,37.35,62,99,21.88
78,Jiuquan,CN,2022-01-31 06:11:03,39.7432,98.5174,23.65,24,100,4.72
79,Sola,VU,2022-01-31 06:11:04,-13.8833,167.55,80.15,78,100,8.3
80,Sayat,TM,2022-01-31 06:11:04,38.7839,63.8803,45.66,47,3,4.36
81,New Norfolk,AU,2022-01-31 06:11:05,-42.7826,147.0587,83.91,37,1,4.0
82,Nara,JP,2022-01-31 06:11:05,34.6851,135.8049,46.98,50,64,8.79
83,Pombia,IT,2022-01-31 06:11:06,45.653,8.6336,40.51,88,28,6.91
84,Ewa Beach,US,2022-01-31 06:06:15,21.3156,-158.0072,74.08,71,40,3.44
85,Tual,ID,2022-01-31 06:11:06,-5.6667,132.75,83.68,78,100,22.17
86,Amapa,BR,2022-01-31 06:11:07,1.0,-52.0,70.14,100,99,1.59
87,Brattleboro,US,2022-01-31 06:11:07,42.8509,-72.5579,8.33,82,27,1.01
88,Saint-Augustin,CA,2022-01-31 06:11:08,51.226,-58.6502,1.9,91,64,8.25
89,Saskylakh,RU,2022-01-31 06:11:08,71.9167,114.0833,-25.13,100,94,2.91
90,Santa Cruz,BO,2022-01-31 06:11:09,-17.8,-63.1667,74.66,88,18,8.05
91,Whitehorse,CA,2022-01-31 06:10:30,60.7161,-135.0538,-11.81,100,97,2.86
92,Nanortalik,GL,2022-01-31 06:12:09,60.1432,-45.2371,24.26,73,99,20.83
93,Butaritari,KI,2022-01-31 06:12:10,3.0707,172.7902,82.06,77,55,18.97
94,Alofi,NU,2022-01-31 06:12:10,-19.0595,-169.9187,75.43,80,100,8.32
